MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,ZIP,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
40628.0,18.0,14.0,10.0,18634.0,0.3631512869,0.5640301318,0.876,35762,355.0,0.003138732,0.0091023227,0.3366762178,0.30275974026,0.222222222222,0.329314720812,0.052287581699,0.0617
54501.0,15.0,15.0,9.0,21216.0,0.1076951742,0.6390907397,0.6484,35294-0110,2290.0,0.0031675051,0.1050866406,0.5745573159,0.540062843676,0.483064963909,0.201492537313,0.147872340426,0.1794
37621.0,20.0,6.0,5.0,,0.1587837838,0.6486486486,,36117-3553,20.0,0.0405405405,0.2364864865,0.3333333333,0.084848484848,,0.534482758621,,0.8606
61767.0,15.0,13.0,15.0,24770.0,0.1025533696,0.4763499372,0.6376,35899,880.0,,0.1004604437,0.6408888889,0.480613165014,0.359408033827,0.209604153147,0.094076655052,0.1519
34502.0,17.0,14.0,10.0,19396.0,0.2903354633,0.6134185304,0.8791,36104-0271,316.0,,0.0079872204,0.2446808511,0.322360953462,0.25,0.327094474153,0.061983471074,0.0677
59221.0,15.0,16.0,12.0,32300.0,0.2022556391,0.6152524168,0.8647,35487-0100,4092.0,0.0039742213,0.0537056928,0.6572383646,0.619616204691,0.585067873303,0.109710458932,0.090755593077,0.0735
33506.0,5.0,2.0,1.0,8740.0,0.1130841121,0.6037383178,0.604,35010,87.0,,0.0962616822,0.2702702703,0.126637554585,0.18085106383,0.5,,0.1565
50273.0,22.0,9.0,5.0,,0.0403645833,0.705078125,,35611,671.0,,0.361328125,0.5269058296,0.599499374218,0.690082644628,0.200923787529,0.309782608696,0.5569
44391.0,18.0,13.0,7.0,19348.0,0.152301665,0.6929480901,0.5168,36117-3596,574.0,0.0048971596,0.0729676787,0.5849335303,0.311836734694,0.252669039146,0.287521079258,0.140077821012,0.2031
65337.0,15.0,15.0,14.0,32960.0,0.1297952693,0.531504671,0.8222,36849,3003.0,0.0023852117,0.0222619758,0.7699652778,0.731697506034,0.668747704737,0.100887282287,0.109869646182,0.04
59481.0,21.0,11.0,12.0,21250.0,0.3778280543,0.520361991,0.9037,35254,109.0,,,0.7679558011,0.643171806167,,0.130612244898,,0.017
36438.0,4.0,2.0,2.0,8730.0,0.1393162393,0.611965812,0.4515,36869,91.0,0.0102564103,0.1905982906,0.3896103896,0.135817307692,0.135646687697,0.408858603066,0.151515151515,0.3301
34421.0,22.0,6.0,7.0,17014.0,0.0544449171,0.7628668652,0.1494,36116,2104.0,0.0162342266,0.2367077839,0.3869922751,0.178076996017,0.1592670895,0.354831560284,0.21875,0.6804
42572.0,2.0,2.0,2.0,8670.0,0.0786729858,0.5165876777,0.6041,36330-1300,20.0,0.0113744076,0.1213270142,,0.123473541384,0.105919003115,0.50284629981,,0.2244
34894.0,4.0,3.0,2.0,8670.0,0.1052631579,0.6531791908,0.6282,36507-2698,219.0,0.0045634317,0.0955278369,0.523297491,0.176358798936,0.112831858407,0.509015971149,0.082595870206,0.2206
43457.0,18.0,10.0,7.0,23920.0,0.1409966025,0.6387315968,0.4128,36109-3390,444.0,,0.167610419,0.3508500773,0.326674500588,0.255617977528,0.314669652856,0.196629213483,0.4247
32937.0,7.0,3.0,2.0,6984.0,0.070688379,0.6180606958,0.6168,35903,375.0,0.0066617321,0.1236121392,,0.179824561404,0.212483399734,0.568310428456,0.21935483871,0.3261
31399.0,7.0,3.0,1.0,8610.0,0.0547630005,0.667740451,0.4975,36303-9234,366.0,0.0046019328,0.1251725725,,0.265512265512,0.224919093851,0.476651982379,0.195945945946,0.3198
39842.0,7.0,3.0,2.0,8670.0,0.0544049459,0.6312210201,0.527,35077-2000,516.0,0.0040185471,0.142503864,0.6070133011,0.269949066214,0.266470009833,0.497677119628,0.176470588235,0.2306
