INSTNM,MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
Saint Paul College,38399.0,5.0,3.0,1.0,6318.0,0.0974586151,0.5383539287,0.3649,558.0,0.0060620191,0.1123805083,0.4941037736,0.230155715913,0.237623762376,0.476261127596,0.228571428571,0.3667
Southwest Minnesota State University,51342.0,18.0,10.0,7.0,10122.0,0.0599343186,0.5977011494,0.4885,469.0,,0.0894909688,0.7638888889,0.456488549618,0.400423728814,0.209923664122,0.203592814371,0.0834
Summit Academy Opportunities Industrialization Center,22606.0,-2.0,-2.0,-2.0,,0.0190174326,0.4278922345,1.0,282.0,0.0158478605,0.0982567353,,0.628125,,0.3175,0.627450980392,0.6773
Dunwoody College of Technology,61511.0,23.0,9.0,11.0,24611.0,0.0401960784,0.1666666667,0.6122,519.0,0.0460784314,0.1009803922,0.7022587269,0.594017094017,0.647773279352,0.27744510978,0.569832402235,0.3039
Ridgewater College,43827.0,8.0,3.0,2.0,6114.0,0.0354938272,0.5149176955,0.4493,525.0,,0.0920781893,0.6686217009,0.307282415631,0.367799113737,0.405844155844,0.365671641791,0.2586
Minnesota State College Southeast,43613.0,9.0,2.0,1.0,7490.0,0.0311587147,0.5365141188,0.3455,250.0,,0.1684518014,0.629969419,0.385321100917,0.419491525424,0.393013100437,0.413223140496,0.296
Winona State University,58532.0,19.0,13.0,10.0,17224.0,0.0630905212,0.6644315757,0.7582,1727.0,,0.0521182566,0.8199233716,0.592896174863,0.586116568435,0.155132641292,0.142642642643,0.1023
Century College,46424.0,5.0,3.0,1.0,6105.0,0.07243269,0.5601620205,0.3017,612.0,0.0081010245,0.1072194425,0.5923809524,0.219207425919,0.180634662327,0.464983325393,0.153518123667,0.3178
Alcorn State University,36421.0,20.0,11.0,11.0,8549.0,0.263129399,0.621548457,0.6492,241.0,,0.0205739036,0.4628099174,0.323333333333,0.339410939691,0.400562851782,0.09375,0.1157
Belhaven University,46440.0,17.0,10.0,5.0,28375.0,0.1441753172,0.6828143022,0.5922,418.0,,0.199538639,0.5481832543,0.430609597925,0.536516853933,0.247422680412,0.211111111111,0.4498
Blue Mountain Christian University,40421.0,22.0,8.0,11.0,19280.0,0.107266436,0.5259515571,0.5325,89.0,,0.1418685121,0.68,0.272222222222,0.521739130435,0.162162162162,0.192307692308,0.0647
Chris Beauty College,18468.0,-2.0,-2.0,-2.0,,,0.8705882353,1.0,,,0.1764705882,,0.512820512821,,,,0.5254
Coahoma Community College,24289.0,7.0,2.0,3.0,3353.0,0.1690821256,0.5301932367,0.6414,66.0,,0.0193236715,,0.267123287671,0.253246753247,0.413744740533,0.283018867925,0.1352
Copiah-Lincoln Community College,31241.0,4.0,3.0,3.0,5600.0,0.10567297,0.5939933259,0.7696,17.0,,0.0561735261,0.5336658354,0.298742138365,0.36797752809,0.531914893617,,0.1114
Delta State University,41991.0,18.0,11.0,11.0,8605.0,0.1330798479,0.6045627376,0.4023,426.0,,0.0570342205,0.6475583864,0.219072164948,0.395833333333,0.155988857939,0.22,0.1362
